user_id,date,role,ground_truth,scenario
SUB316,2026-09-24,CustomerService,0,normal
SUB316,2026-09-25,CustomerService,0,normal
SUB317,2026-09-21,CustomerService,0,normal
SUB317,2026-09-22,CustomerService,0,normal
SUB317,2026-09-23,CustomerService,0,normal
SUB317,2026-09-24,CustomerService,0,normal
SUB317,2026-09-25,CustomerService,0,normal
SUB318,2026-09-21,CustomerService,0,normal
SUB318,2026-09-22,CustomerService,0,normal
SUB318,2026-09-23,CustomerService,0,normal
SUB318,2026-09-24,CustomerService,0,normal
SUB318,2026-09-25,CustomerService,0,normal
SUB319,2026-09-21,CustomerService,0,normal
SUB319,2026-09-22,CustomerService,0,normal
SUB319,2026-09-23,CustomerService,0,normal
SUB319,2026-09-24,CustomerService,0,normal
SUB319,2026-09-25,CustomerService,0,normal
SUB320,2026-09-21,CustomerService,0,normal
SUB320,2026-09-22,CustomerService,0,normal
SUB320,2026-09-23,CustomerService,0,normal
SUB320,2026-09-24,CustomerService,0,normal
SUB320,2026-09-25,CustomerService,0,normal
SUB321,2026-09-21,Manager,0,normal
SUB321,2026-09-22,Manager,0,normal
SUB321,2026-09-23,Manager,0,normal
SUB321,2026-09-24,Manager,0,normal
SUB321,2026-09-25,Manager,0,normal
SUB322,2026-09-21,Manager,0,normal
SUB322,2026-09-22,Manager,0,normal
SUB322,2026-09-23,Manager,0,normal
SUB322,2026-09-24,Manager,0,normal
SUB322,2026-09-25,Manager,0,normal
SUB323,2026-09-21,Manager,0,normal
SUB323,2026-09-22,Manager,0,normal
SUB323,2026-09-23,Manager,0,normal
SUB323,2026-09-24,Manager,0,normal
SUB323,2026-09-25,Manager,0,normal
SUB324,2026-09-21,Manager,0,normal
SUB324,2026-09-22,Manager,0,normal
SUB324,2026-09-23,Manager,0,normal
SUB324,2026-09-24,Manager,0,normal
SUB324,2026-09-25,Manager,0,normal
SUB325,2026-09-21,Manager,0,normal
SUB325,2026-09-22,Manager,0,normal
SUB325,2026-09-23,Manager,0,normal
SUB325,2026-09-24,Manager,0,normal
SUB325,2026-09-25,Manager,0,normal
SUB326,2026-09-21,Manager,0,normal
SUB326,2026-09-22,Manager,0,normal
SUB326,2026-09-23,Manager,0,normal
SUB326,2026-09-24,Manager,0,normal
SUB326,2026-09-25,Manager,0,normal
SUB327,2026-09-21,Manager,0,normal
SUB327,2026-09-22,Manager,0,normal
SUB327,2026-09-23,Manager,0,normal
SUB327,2026-09-24,Manager,0,normal
SUB327,2026-09-25,Manager,0,normal
SUB328,2026-09-21,Manager,0,normal
SUB328,2026-09-22,Manager,0,normal
SUB328,2026-09-23,Manager,0,normal
SUB328,2026-09-24,Manager,0,normal
SUB328,2026-09-25,Manager,0,normal
SUB329,2026-09-21,Manager,0,normal
SUB329,2026-09-22,Manager,0,normal
SUB329,2026-09-23,Manager,0,normal
SUB329,2026-09-24,Manager,0,normal
SUB329,2026-09-25,Manager,0,normal
SUB330,2026-09-21,Manager,0,normal
SUB330,2026-09-22,Manager,0,normal
SUB330,2026-09-23,Manager,0,normal
SUB330,2026-09-24,Manager,0,normal
SUB330,2026-09-25,Manager,0,normal
SUB331,2026-09-21,Teller,0,normal_pre_anomaly
SUB331,2026-09-22,Teller,0,normal_pre_anomaly
SUB331,2026-09-23,Teller,1,gradual_download_increase
SUB331,2026-09-24,Teller,1,gradual_download_increase
SUB331,2026-09-25,Teller,1,gradual_download_increase
SUB332,2026-09-21,Teller,0,normal_pre_anomaly
SUB332,2026-09-22,Teller,0,normal_pre_anomaly
SUB332,2026-09-23,Teller,1,repeated_vip_access
SUB332,2026-09-24,Teller,1,repeated_vip_access
SUB332,2026-09-25,Teller,1,repeated_vip_access
SUB333,2026-09-21,Teller,0,normal_pre_anomaly
SUB333,2026-09-22,Teller,0,normal_pre_anomaly
SUB333,2026-09-23,Teller,1,role_deviation
SUB333,2026-09-24,Teller,1,role_deviation
SUB333,2026-09-25,Teller,1,role_deviation
SUB334,2026-09-21,Teller,0,normal_pre_anomaly
SUB334,2026-09-22,Teller,0,normal_pre_anomaly
SUB334,2026-09-23,Teller,1,slow_behavioral_drift
SUB334,2026-09-24,Teller,1,slow_behavioral_drift
SUB334,2026-09-25,Teller,1,slow_behavioral_drift
SUB335,2026-09-21,Teller,0,normal_pre_anomaly
SUB335,2026-09-22,Teller,0,normal_pre_anomaly
SUB335,2026-09-23,Teller,1,unusual_volume_normal_hours
SUB335,2026-09-24,Teller,1,unusual_volume_normal_hours
SUB335,2026-09-25,Teller,1,unusual_volume_normal_hours
SUB336,2026-09-21,CustomerService,0,normal_pre_anomaly
SUB336,2026-09-22,CustomerService,0,normal_pre_anomaly
SUB336,2026-09-23,CustomerService,1,gradual_download_increase
SUB336,2026-09-24,CustomerService,1,gradual_download_increase
SUB336,2026-09-25,CustomerService,1,gradual_download_increase
SUB337,2026-09-21,CustomerService,0,normal_pre_anomaly
SUB337,2026-09-22,CustomerService,0,normal_pre_anomaly
SUB337,2026-09-23,CustomerService,1,repeated_vip_access
SUB337,2026-09-24,CustomerService,1,repeated_vip_access
SUB337,2026-09-25,CustomerService,1,repeated_vip_access
SUB338,2026-09-21,CustomerService,0,normal_pre_anomaly
SUB338,2026-09-22,CustomerService,0,normal_pre_anomaly
SUB338,2026-09-23,CustomerService,1,role_deviation
SUB338,2026-09-24,CustomerService,1,role_deviation
SUB338,2026-09-25,CustomerService,1,role_deviation
SUB339,2026-09-21,CustomerService,0,normal_pre_anomaly
SUB339,2026-09-22,CustomerService,0,normal_pre_anomaly
SUB339,2026-09-23,CustomerService,1,slow_behavioral_drift
SUB339,2026-09-24,CustomerService,1,slow_behavioral_drift
SUB339,2026-09-25,CustomerService,1,slow_behavioral_drift
SUB340,2026-09-21,CustomerService,0,normal_pre_anomaly
SUB340,2026-09-22,CustomerService,0,normal_pre_anomaly
SUB340,2026-09-23,CustomerService,1,unusual_volume_normal_hours
SUB340,2026-09-24,CustomerService,1,unusual_volume_normal_hours
SUB340,2026-09-25,CustomerService,1,unusual_volume_normal_hours
SUB341,2026-09-21,Manager,0,normal_pre_anomaly
SUB341,2026-09-22,Manager,0,normal_pre_anomaly
SUB341,2026-09-23,Manager,1,gradual_download_increase
SUB341,2026-09-24,Manager,1,gradual_download_increase
SUB341,2026-09-25,Manager,1,gradual_download_increase
SUB342,2026-09-21,Manager,0,normal_pre_anomaly
SUB342,2026-09-22,Manager,0,normal_pre_anomaly
SUB342,2026-09-23,Manager,1,repeated_vip_access
SUB342,2026-09-24,Manager,1,repeated_vip_access
SUB342,2026-09-25,Manager,1,repeated_vip_access
SUB343,2026-09-21,Manager,0,normal_pre_anomaly
SUB343,2026-09-22,Manager,0,normal_pre_anomaly
SUB343,2026-09-23,Manager,1,role_deviation
SUB343,2026-09-24,Manager,1,role_deviation
SUB343,2026-09-25,Manager,1,role_deviation
SUB344,2026-09-21,Manager,0,normal_pre_anomaly
SUB344,2026-09-22,Manager,0,normal_pre_anomaly
SUB344,2026-09-23,Manager,1,slow_behavioral_drift
SUB344,2026-09-24,Manager,1,slow_behavioral_drift
SUB344,2026-09-25,Manager,1,slow_behavioral_drift
SUB345,2026-09-21,Manager,0,normal_pre_anomaly
SUB345,2026-09-22,Manager,0,normal_pre_anomaly
SUB345,2026-09-23,Manager,1,unusual_volume_normal_hours
SUB345,2026-09-24,Manager,1,unusual_volume_normal_hours
SUB345,2026-09-25,Manager,1,unusual_volume_normal_hours
