user_id,role,target_date,days_visible,timeline
SUB301,Teller,2026-09-21,1,"2026-09-21 09:05:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:19:39 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:46:59 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 14:36:12 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 15:32:43 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:11:37 | event=download | records=0 | download=2 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:37:08 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:54:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:11:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:28:57 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:45:53 | event=download | records=0 | download=1 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 10:36:57 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:02:06 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:34:54 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:45:45 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:48:30 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 12:28:01 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:16:27 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:26:02 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:52:40 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 15:07:53 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 16:59:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1"
SUB301,Teller,2026-09-23,3,"2026-09-21 09:05:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:23:23 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:46:30 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:52:39 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 10:03:46 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 11:26:24 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:19:39 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:46:59 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 14:36:12 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 15:32:43 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:11:37 | event=download | records=0 | download=2 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:37:08 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:54:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:11:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:28:57 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:45:53 | event=download | records=0 | download=1 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 10:36:57 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:02:06 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:34:54 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:45:45 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:48:30 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 12:28:01 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:16:27 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:26:02 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:52:40 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 15:07:53 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 16:59:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:07:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:18:57 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:19:44 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 12:49:58 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 14:39:01 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 14:49:34 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 16:35:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 16:48:39 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1"
SUB301,Teller,2026-09-24,4,"2026-09-21 09:05:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:23:23 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:46:30 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:52:39 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 10:03:46 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 11:26:24 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:19:39 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:46:59 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 14:36:12 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 15:32:43 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:11:37 | event=download | records=0 | download=2 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:37:08 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:54:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:11:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:28:57 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:45:53 | event=download | records=0 | download=1 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 10:36:57 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:02:06 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:34:54 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:45:45 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:48:30 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 12:28:01 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:16:27 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:26:02 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:52:40 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 15:07:53 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 16:59:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:07:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:18:57 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:19:44 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 12:49:58 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 14:39:01 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 14:49:34 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 16:35:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 16:48:39 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 09:00:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 09:43:06 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 11:57:56 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 12:05:01 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 12:08:00 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 14:10:13 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 14:50:47 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 15:16:26 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 15:42:03 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 16:29:30 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 16:30:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1"
SUB301,Teller,2026-09-25,5,"2026-09-21 09:05:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:23:23 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:46:30 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 09:52:39 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 10:03:46 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 11:26:24 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:19:39 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 12:46:59 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 14:36:12 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 15:32:43 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:11:37 | event=download | records=0 | download=2 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:37:08 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-21 16:54:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:11:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:28:57 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 09:45:53 | event=download | records=0 | download=1 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 10:36:57 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:02:06 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:34:54 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:45:45 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 11:48:30 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 12:28:01 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:16:27 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:26:02 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 14:52:40 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 15:07:53 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-22 16:59:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:07:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:18:57 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 09:19:44 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 12:49:58 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 14:39:01 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 14:49:34 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 16:35:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-23 16:48:39 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 09:00:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 09:43:06 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 11:57:56 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 12:05:01 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 12:08:00 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 14:10:13 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 14:50:47 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 15:16:26 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 15:42:03 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 16:29:30 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-24 16:30:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-25 09:19:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-25 10:31:12 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-25 13:03:45 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-25 13:15:12 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-25 13:29:15 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-25 13:48:48 | event=download | records=0 | download=1 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-25 16:20:41 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1
2026-09-25 16:32:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.3.222 | known_ip=1"
SUB302,Teller,2026-09-21,1,"2026-09-21 09:04:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 10:41:07 | event=download | records=0 | download=2 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 11:33:19 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 11:57:02 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 15:06:16 | event=download | records=0 | download=1 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 15:32:59 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:18:18 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:46:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:55:01 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1"
SUB302,Teller,2026-09-22,2,"2026-09-21 09:04:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 10:41:07 | event=download | records=0 | download=2 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 11:33:19 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 11:57:02 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 15:06:16 | event=download | records=0 | download=1 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 15:32:59 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:18:18 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:46:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:55:01 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 09:10:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 09:21:30 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 10:29:42 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 10:57:26 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 12:06:16 | event=customer_access | records=3 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 13:07:37 | event=download | records=0 | download=5 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 14:12:00 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 14:50:58 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 15:04:26 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 15:59:36 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 16:08:27 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 16:47:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1"
SUB302,Teller,2026-09-23,3,"2026-09-21 09:04:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 10:41:07 | event=download | records=0 | download=2 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 11:33:19 | event=customer_access | records=5 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 11:57:02 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 15:06:16 | event=download | records=0 | download=1 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 15:32:59 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:18:18 | event=download | records=0 | download=4 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:46:00 | event=logout | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-21 16:55:01 | event=customer_access | records=2 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 09:10:00 | event=login | records=0 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 09:21:30 | event=customer_access | records=4 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 10:29:42 | event=download | records=0 | download=3 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
2026-09-22 10:57:26 | event=customer_access | records=1 | download=0 | failed_login=0 | account=Regular | ip=10.3.1.200 | known_ip=1
